Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,100nF,C14663
"C10, C11, C21, C22, C23, C24, C26, C6, C7, C8, C9",402,11,100nF,C307331
"C12, C15",402,2,1UF,C52923
C13,402,1,10nF,C15195
C14,603,1,10uF,C96446
"C16, C18",805,2,4.7uF,C1779
"C17, C19",805,2,0.1uF,C49678
"C2, C3",402,2,24pF,C285039
C20,402,1,4.7uF ,C23733
C25,603,1,100nF,C14663
C27,402,1,220nF,C16772
"C28, C29",402,2,8pF,C130118
C30,402,1,4.7uF,C23733
C31,402,1,3.4pF,C26404
C32,402,1,1.2pF,C72135
"C33, C37",402,2,100nF,C307331
"C34, C36",402,2,0.5pF,C1544
"C35, C38, C39",402,3,3pF,C161318
"C4, C5",402,2,5pF,C1573
"C40, C41",603,2,47uF/50V,C76637
"C44, C45, C63, C65",805,4,100nF,C49678
"C52, C60, C61, C64",805,4,1uF,C28323
C53,805,1,22uF,C45783
C54,402,1,3.3nF,C85963
C55,805,1,10uF,C15850
"C56, C73",1210,2,0.47uF,C192761
C57,402,1,47pF,C1567
C58,1210,1,12uF,C296120
"C59, C76",402,2,0.1uF,C307331
"C62, C77",402,2,1nF,C1523
C78,CP_EIA-6032-15_Kemet-U,1,330uF,C444805
C66,CP_EIA-6032-15_Kemet-U,1,330uF,C444758
"C67, C79",1210,2,10uF,C296120
"C68, C69, C70, C71",402,4,10uF,C237279
C72,603,1,750pF,C327422
C74,402,1,1.2pF,C72135
C75,1210,1,22uF,C296120
COM-TO-STM1,SW-SMD_SS-3235S-L2,1,~,C500056
"D1, D3, D4, D5",805,4,LED,C84256
D14,D_SMA,1,1N5819,C437199
D15,PDS4150,1,S310,C397958
D16,805,1,D,C84256
D17,D_MiniMELF,1,BZV55B5V1,C545327
D2,D_SOD-123,1,D,C81601
D6,PDS4150,1,PDS4150,C397958
"FB1, FB2",603,2,600 @ 100mhz,C1002
J11,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,402,1,L,C97981
L2,805,1,10uH,C1046
L3,402,1,22nH,C12670
L5,L_7.3x7.3_H3.5,1,22uH,C514808
L6,L_7.3x7.3_H3.5,1,15uH,C504017
Q1,SOT-23,1,BSS138,C8545
"Q2, Q3",SOT-23,2,MMBT2222A 1P,C8512
R1,402,1,47R,C409694
"R10, R6",402,2,100R,C25076
"R11, R13",603,2,100R,C22775
R12,603,1,100K,C25803
"R14, R15, R16, R8",402,4,1K,C11702
R18,402,1,5.76K,C321562
"R19, R21, R22, R23, R25, R32, R33, R34, R35, R36, R55",603,11,10K,C25804
R2,603,1,15K,C22809
R20,402,1,36.5K,C25887
R24,603,1,20mR,C158898
"R26, R43, R45",402,3,100K,C25741
"R27, R30, R5",603,3,1K,C21190
R28,402,1,422K,C144038
R29,402,1,80.6K,C25921
"R3, R31",603,2,100R,C22775
"R37, R56",603,2,2K,C22975
"R38, R39, R40, R41",603,4,30R,C22859
R4,603,1,3M3,C21190
R42,402,1,25.5K,C273695
R44,805,1,56mR,C270913
R46,603,1,56K,C23206
R47,402,1,3.7K,
"R7, R9",402,2,5k1,C25905
SW1,SW_TS-1187A-B-A-B,1,EN,C318884
SW2,SW_TS-1187A-B-A-B,1,BOOT,C318884
SW3,SW_TS-1187A-B-A-B,1,EN,C318884
SW4,SW_TS-1187A-B-A-B,1,BOOT_,C318884
U1,LQFP-64_10x10mm_P0.5mm,1,~,C529361
"U10, U9",AP3P3R0MT,2,PMOS,C380188
U15,SOP-8_3.9x4.9mm_P1.27mm,1,CC6900SO-20A,C286006
U17,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
"U18, U21",AP3P3R0MT,2,~,C380188
U19,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,C5252905
U4,SOT-23-6,1,USBLC6-2SC6,C2827654
U6,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm,1,QFN48,C3606612
"U7, U8",SOIC-8_3.9x4.9mm_P1.27mm,2,L6388ED013TR,C23921
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,20Mhz,C5265859
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C182057
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.7680 KHz 12.5 pF,C891748
Y4,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32.0000 MHz 8pF,C718072
