Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,2500AT44M0400,1,2500AT44M0400E,
BZ1,Buzzer_Murata_PKLCS1212E,1,Buzzer,
C1,0603,1,100nF,
"C10, C11, C21, C22, C23, C24, C26, C6, C7, C8, C9",0402,11,100nF,
"C12, C15",0402,2,1UF,
C13,0402,1,10nF,
C14,0603,1,10uF,
"C16, C18",0805,2,4.7uF,
"C17, C19",0805,2,0.1uF,
"C2, C3",0402,2,24pF,
C20,0402,1,4.7uF ,
C25,0603,1,100nF,
C27,0402,1,220nF,C16772
"C28, C29",0402,2,8pF,C26408
C30,0402,1,4.7uF,
C31,0402,1,3.4pF,C26404
C32,0402,1,1.2pF,C72135
"C33, C37",0402,2,100nF,C307331
"C34, C36",0402,2,0.5pF,C86284
"C35, C38, C39",0402,3,3pF,C318583
"C4, C5",0402,2,5pF,
"C40, C41, C42, C43",0805,4,47uF/50V,
"C44, C45, C46, C47, C63, C65",0805,6,100nF,
"C48, C49, C50, C51",0805,4,NC,
"C52, C60, C61, C64",0805,4,1uF,
C53,0805,1,22uF,
C54,0402,1,3.3nF,
C55,0805,1,10uF,
"C56, C73",1210,2,0.47uF,
C57,0402,1,47pF,
C58,1210,1,12uF,
"C59, C76",0402,2,0.1uF,
"C62, C77",0402,2,1nF,
"C66, C78",CP_EIA-6032-15_Kemet-U,2,330uF,
"C67, C79",1210,2,10uF,
"C68, C69, C70, C71",0402,4,10uF,
C72,0402,1,750pF,
C74,0402,1,1.2pF,
C75,1210,1,22uF,
COM-TO-STM1,SW-SMD_SS-3235S-L2,1,~,C500056
"D1, D3, D4, D5",0805,4,LED,
D14,D_SMA,1,1N5819,
D15,PDS4150,1,S310,
D16,0805,1,D,
D17,D_MiniMELF,1,BZV55B5V1,
D18,LED_D3.0mm,1,LED,
D2,D_SOD-123,1,D,
D6,PDS4150,1,PDS4150,
F1,RES-SMD_SA72SB0,1,Fuse,
"FB1, FB2",0603,2,600 @ 100mhz,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
