Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,2500AT44M0400,1,2500AT44M0400E,
BZ1,Buzzer_Murata_PKLCS1212E,1,Buzzer,
C1,0603,1,100nF,
"C10, C11, C28, C29, C30, C31, C33, C6, C7, C8, C9",0402,11,100nF,
"C12, C15",0402,2,1UF,
C13,0402,1,10nF,
C14,0603,1,10uF,
"C16, C20",0805,2,4.7uF,
C17,CP_Elec_5x5.9,1,10uF/50V,
"C18, C23",0805,2,0.1uF,
"C19, C25, C47, C48, C62",0805,5,1uF,
"C2, C3",0402,2,24pF,
"C21, C24",0805,2,22uF,
C22,0805,1,10uF,
"C26, C54, C55, C61",0805,4,100nF,
C27,0402,1,4.7uF ,
C32,0603,1,100nF,
C34,0402,1,220nF,C16772
"C35, C36",0402,2,8pF,C26408
C37,0402,1,4.7uF,
C38,0402,1,3.4pF,C26404
C39,0402,1,1.2pF,C72135
"C4, C5",0402,2,5pF,
"C40, C44",0402,2,100nF,C307331
"C41, C43",0402,2,0.5pF,C86284
"C42, C45, C46",0402,3,3pF,C318583
C49,CP_Elec_10x12.5,1,470uF/50V,
"C50, C53, C58",0805,3,105,
"C51, C52",CP_Elec_10x12.5,2,47uF/50V,
"C56, C57",0805,2,NC,
C59,CP_Elec_10x10,1,1000uF/25V,
C60,0805,1,33nF,
"COM-TO-STM1, Switch_Power_Selonoid_Pump&OT_Lama1",SW-SMD_SS-3235S-L2,2,~,C500056
"D10, D14, D15, D9",D_SOD-123,4,D_Zener,
"D11, D13",TO-220-3_Vertical,2,MBR3045DT,
D12,0805,1,D,
D16,TO-220-2_Vertical,1,MBR1545,
D2,D_SMA,1,1N5819,
"D3, D6, D7, D8",0805,4,LED,
D4,D_MiniMELF,1,BZV55B5V1,
D5,LED_D3.0mm,1,LED,
"F1, F2",RES-SMD_SA72SB0,2,Fuse,
"FB1, FB2",0603,2,600 @ 100mhz,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
J1,TerminalBlock_4_pin,1,GYRO_1,
