Designator,Footprint,Quantity,Value,JLCPCB Part #
C1,603,1,100nF,C14663
"C10, C11, C28, C29, C30, C31, C33, C6, C7, C8, C9",402,11,100nF,C307331
"C12, C15",402,2,1uF,C52923
C13,402,1,10nF,C15195
C14,603,1,10uF,C96446
"C16, C20",805,2,4.7uF,C1779
C17,CP_Elec_5x5.9,1,10uF/50V,C336504
"C18, C23",805,2,0.1uF,C49678
"C19, C25, C47, C48, C62",805,5,1uF,C28323
"C2, C3",402,2,24pF,C285039
"C21, C24",805,2,22uF,C45783
C22,805,1,10uF,C15850
"C26, C54, C55, C61",805,4,100nF,C49678
C27,402,1,4.7uF ,C23733
C32,603,1,100nF,C14663
C34,402,1,220nF,C16772
"C35, C36",402,2,8pF,C161335
C37,402,1,4.7uF,C23733
C38,402,1,3.4pF,C26404
C39,402,1,1.2pF,C72135
"C4, C5",402,2,5pF,C1573
"C40, C44",402,2,100nF,C307331
"C41, C43",402,2,0.5pF,C1544
"C42, C45, C46",402,3,3pF,C161318
C49,CP_Elec_10x12.5,1,470uF/50V,C473412
"C50, C53, C58",805,3,105,C354365
"C51, C52",CP_Elec_10x12.5,2,47uF/50V,C473412
C59,CP_Elec_10x10,1,1000uF/25V,C401766
C60,805,1,33nF,C1739
"COM-TO-STM1, Switch_Power_Selonoid_Pump&OT_Lama1",SW-SMD_SS-3235S-L2,2,switch,C500056
"D10, D14, D15, D9",D_SOD-123,4,D_Zener,C353528
"D11, D13",TO-220-3_Vertical,2,MBR3045DT,C20607912
D16,TO-220-2_Vertical,1,MBR1545,C260262
D2,D_SMA,1,1N5819,C437199
"D3, D6, D7, D8, D12",805,5,LED,C2297
D4,D_MiniMELF,1,BZV55B5V1,C545327
"FB1, FB2",603,2,600 @ 100mhz,C1002
L1,402,1,L,C97981
L2,805,1,10uH,C2922559
L3,402,1,22nH,C12670
L5,SLB2212P,1,L,C2842798
Q1,SOT-23,1,BSS138,C8545
"Q2, Q3, Q4, Q5",SOT-23,4,MMBT2222A 1P,C8512
R10,805,1,100K,C149504
R11,805,1,21K,C17550
"R12, R8",402,2,100R,C25076
R13,805,1,22K,C17560
"R14, R35, R7",603,3,1K,C22764
"R15, R17",603,2,100R,C22775
R16,603,1,100K,C25803
"R18, R19, R20, R9",402,4,1K,C11702
R2,402,1,47R,C25118
"R21, R22, R23, R24, R25, R26, R27, R29, R30, R31, R32, R34, R36, R37, R38, R40, R41, R42",603,18,10K,C25804
"R28, R33, R39, R43",603,4,2K,C22975
R3,603,1,15K,C22809
R4,603,1,100R,C22775
R44,805,1,10K,C17414
R6,603,1,3M3,C22764
RV1,Potentiometer_Vishay_T73YP_Vertical,1,10K,C118956
SW3,SW_TS-1187A-B-A-B,1,EN,C318884
SW4,SW_TS-1187A-B-A-B,1,BOOT_,C318884
"U10, U12, U13, U15",AP3P3R0MT,4,PMOS,C380188
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,C5252905
"U14, U5",SOP-8_3.9x4.9mm_P1.27mm,2,CC6900SO-20A,C286006
"U16, U17",SOIC-8_3.9x4.9mm_P1.27mm,2,L6388ED013TR,C23921
U18,TO-220-5_Vertical,1,XL4016,C55881
U2,LQFP-64_10x10mm_P0.5mm,1,ST,C529361
U7,IC_L6201PS,1,Solenoid,C1235453
U8,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,20Mhz,C5265859
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C182057
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.7680 KHz 12.5 pF,C891748
Y4,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32.0000 MHz 8pF,C718072
