Designator,Mid X,Mid Y,Rotation,Layer
ANT1,226.37,-52.965,90.0,top
BZ1,143.99,-67.7,0.0,top
C1,141.79,-56.495,270.0,top
C10,155.3225,-65.34,0.0,top
C11,174.15,-73.26,90.0,top
C12,173.11,-73.79,90.0,top
C13,175.19,-72.745,90.0,top
C14,183.28,-44.42,180.0,top
C15,176.22,-72.915,90.0,top
C16,155.35,-80.61,90.0,top
C17,89.14,-80.39,0.0,top
C18,158.46,-80.61,90.0,top
C19,128.17,-99.6,270.0,top
C2,157.42,-56.885,0.0,top
C20,182.9,-88.0775,180.0,top
C21,104.29,-70.19,180.0,top
C22,104.31,-72.24,180.0,top
C23,182.9,-91.1875,180.0,top
C24,102.674635,-80.880365,270.0,top
C25,115.96,-70.54,270.0,top
C26,118.0,-70.55,270.0,top
C27,211.64,-49.485,90.0,top
C28,212.67,-49.465,90.0,top
C29,208.57,-56.55,180.0,top
C3,157.35,-61.695,0.0,top
C30,209.03,-57.58,180.0,top
C31,208.7,-55.52,0.0,top
C32,218.92,-66.28,180.0,top
C33,209.11,-54.5,0.0,top
C34,213.9,-52.27,270.0,top
C35,214.52,-47.245,90.0,top
C36,216.08,-47.245,90.0,top
C37,215.84,-52.26,270.0,top
C38,219.27,-56.62,0.0,top
C39,220.76,-57.08,90.0,top
C4,163.58,-53.65,270.0,top
C40,220.24,-59.16,90.0,top
C41,222.26,-57.67,0.0,top
C42,219.2,-58.65,90.0,top
C43,223.77,-57.07,90.0,top
C44,220.33,-54.24,0.0,top
C45,224.8,-57.09,90.0,top
C46,220.18,-55.29,0.0,top
C47,164.59,-44.045,270.0,top
C48,120.63,-99.61,270.0,top
C49,94.0,-67.5,180.0,top
C5,161.04,-53.67,270.0,top
C50,84.5,-56.43,270.0,top
C51,95.34,-96.78,180.0,top
C52,109.36,-96.78,0.0,top
C53,82.3,-56.43,270.0,top
C54,112.61,-112.83,180.0,top
C55,92.27,-112.85,180.0,top
C56,115.37,-112.06,270.0,top
C57,89.47,-110.07,270.0,top
C58,120.0,-54.83,0.0,top
C59,118.0,-47.0,270.0,top
C6,180.29,-58.72,180.0,top
C60,120.0,-57.0,0.0,top
C61,204.04,-49.48,225.0,top
C62,205.47,-50.92,225.0,top
C7,168.54,-55.24,270.0,top
C8,164.9,-66.88,0.0,top
C9,176.98,-70.65,90.0,top
COM-TO-STM1,210.5,-71.02,0.0,top
D10,114.105,-81.6775,90.0,top
D11,126.11,-92.085,0.0,top
D12,154.13,-41.465,180.0,top
D13,141.09,-92.245,0.0,top
D14,127.639992,-81.521508,90.0,top
D15,140.935,-81.96,90.0,top
D16,78.5,-44.5,90.0,top
D2,90.0475,-86.2375,180.0,top
D3,168.47,-76.775,90.0,top
D4,104.894635,-81.822865,270.0,top
D5,112.585,-63.59,0.0,top
D6,204.8525,-59.73,0.0,top
D7,206.27,-61.86,0.0,top
D8,207.57,-63.98,0.0,top
D9,79.03,-106.3775,90.0,top
F1,84.42,-89.39,90.0,top
F2,84.75,-71.78,90.0,top
FB1,171.82,-74.63,90.0,top
FB2,177.5,-73.585,90.0,top
J1,98.245,-32.09,180.0,top
J10,207.25,-78.0,0.0,top
J11,213.0,-78.0,90.0,top
J12,76.46,-92.12,90.0,top
J13,173.7775,-87.39,0.0,top
J14,207.2475,-87.07,180.0,top
J15,156.68,-109.99,180.0,top
J16,156.7,-118.95,0.0,top
J17,198.53,-109.79,180.0,top
J18,198.62,-118.9,0.0,top
J19,225.51,-83.81,180.0,top
J2,119.055,-32.08,180.0,top
J20,158.045,-32.08,180.0,top
J21,85.46,-119.695,0.0,top
J22,124.54,-119.05,0.0,top
J23,102.54,-119.05,0.0,top
J24,76.45,-73.87,90.0,top
J3,139.845,-32.08,180.0,top
J4,176.245,-32.09,180.0,top
J6,196.12,-36.75,180.0,top
J7,213.385,-36.66,180.0,top
J8,82.465,-31.43,180.0,top
J9,194.183,-58.801,180.0,top
L1,202.56,-62.14,0.0,top
L2,210.23,-51.055,270.0,top
L3,211.65,-52.57,90.0,top
L4,222.265,-56.63,0.0,top
L5,88.8,-49.07,0.0,top
Q1,153.2525,-67.84,0.0,top
Q2,82.815,-110.65,180.0,top
Q3,117.8525,-85.86,180.0,top
Q4,131.412492,-85.734008,180.0,top
Q5,144.6975,-86.14,180.0,top
R10,96.94,-84.96,0.0,top
R11,96.97,-87.01,180.0,top
R12,183.66,-89.6375,0.0,top
R13,100.574635,-80.860365,270.0,top
R14,115.9,-64.35,90.0,top
R15,218.94,-64.71,180.0,top
R16,218.8225,-72.615,180.0,top
R17,218.8275,-74.165,0.0,top
R18,207.58,-59.74,180.0,top
R19,209.05,-61.72,180.0,top
R2,159.39,-61.7,0.0,top
R20,210.37,-63.7,180.0,top
R21,161.96,-41.185,180.0,top
R22,79.345,-109.71,180.0,top
R23,79.33,-111.6,0.0,top
R24,157.465,-41.255,0.0,top
R25,161.925,-48.514,180.0,top
R26,157.544,-48.595,180.0,top
R27,86.325,-109.36,0.0,top
R28,86.32,-110.91,0.0,top
R29,114.385,-84.91,180.0,top
R3,141.1,-48.85,0.0,top
R30,155.22,-44.17,90.0,top
R31,114.385,-86.84,0.0,top
R32,121.325,-84.05,0.0,top
R33,121.325,-85.58,0.0,top
R34,153.68,-44.165,90.0,top
R35,151.65,-44.13,90.0,top
R36,127.932492,-84.804008,180.0,top
R37,127.912492,-86.664008,0.0,top
R38,134.877492,-84.014008,0.0,top
R39,134.877492,-85.584008,0.0,top
R4,141.08,-47.3,0.0,top
R40,141.2075,-85.2325,180.0,top
R41,141.1925,-86.9825,0.0,top
R42,148.185,-84.23,180.0,top
R43,148.195,-85.75,0.0,top
R44,119.95,-59.0875,0.0,top
R6,155.9725,-67.8,270.0,top
R7,152.8325,-65.285,0.0,top
R8,156.89,-81.39,270.0,top
R9,170.03,-75.995,270.0,top
RV1,125.95,-56.5,0.0,top
SW1,146.47,-56.63,180.0,top
SW2,146.43,-48.215,180.0,top
SW3,224.3325,-65.21,180.0,top
SW4,224.21,-73.215,180.0,top
Switch_Power_Selonoid_Pump&OT_Lama1,125.79,-110.39,180.0,top
TP1,183.5,-48.26,90.0,top
TP2,170.5,-48.5,90.0,top
TP3,170.25,-43.22,90.0,top
TP4,188.52,-48.38,90.0,top
TP5,101.0,-85.5,0.0,top
U10,85.1,-104.425,0.0,top
U11,159.75,-45.0,270.0,top
U12,120.02,-79.475,0.0,top
U13,133.635,-79.165,0.0,top
U14,124.385,-101.305,0.0,top
U15,147.017508,-79.500992,0.0,top
U16,111.625,-108.075,180.0,top
U17,93.265,-108.07,180.0,top
U18,78.375,-58.96,90.0,top
U19,105.71,-108.23,90.0,top
U2,172.6,-62.935,270.0,top
U20,99.34,-108.32,90.0,top
U3,177.015,-45.05,90.0,top
U4,162.63,-91.84,0.0,top
U5,131.935,-101.295,0.0,top
U6,97.134635,-81.070365,270.0,top
U7,196.23,-91.53,0.0,top
U8,110.5,-70.0,180.0,top
U9,214.38,-58.01,180.0,top
Y1,158.3,-59.185,0.0,top
Y2,162.32,-55.83,180.0,top
