Designator,Mid X,Mid Y,Rotation,Layer
ANT1,222.4225,-52.435,90.0,top
BZ1,147.36,-73.05,0.0,top
C1,158.71,-52.885,0.0,top
C10,140.18,-69.49,90.0,top
C11,176.58,-79.11,90.0,top
C12,175.605,-79.41,90.0,top
C13,177.805,-78.9,90.0,top
C14,191.58,-50.28,270.0,top
C15,178.78,-78.97,90.0,top
C16,146.6,-91.78,180.0,top
C17,146.79,-94.89,180.0,top
C18,186.19,-92.33,180.0,top
C19,186.1,-95.47,180.0,top
C2,158.47,-65.05,0.0,top
C20,211.795,-49.8,90.0,top
C21,210.765,-49.81,90.0,top
C22,208.925,-57.21,180.0,top
C23,209.195,-58.26,180.0,top
C24,208.855,-55.51,0.0,top
C25,218.8425,-64.99,180.0,top
C26,209.385,-54.44,0.0,top
C27,214.035,-52.96,270.0,top
C28,214.365,-48.86,90.0,top
C29,216.015,-48.86,90.0,top
C3,158.37,-69.86,0.0,top
C30,216.14,-52.73,270.0,top
C31,219.945,-56.92,0.0,top
C32,221.425,-57.37,90.0,top
C33,220.355,-59.14,90.0,top
C34,222.925,-56.92,0.0,top
C35,219.335,-58.67,90.0,top
C36,224.445,-57.38,90.0,top
C37,221.035,-54.69,0.0,top
C38,225.485,-57.4,90.0,top
C39,220.575,-55.73,0.0,top
C4,164.12,-61.59,270.0,top
C40,124.44,-97.66,90.0,top
C41,111.82,-97.78,90.0,top
C44,126.04,-112.29,180.0,top
C45,113.39,-112.1,180.0,top
C48,126.04,-110.25,180.0,top
C49,113.39,-110.06,180.0,top
C5,161.51,-61.62,270.0,top
C52,104.54,-87.05,0.0,top
C53,115.2625,-55.44,90.0,top
C54,94.85,-79.9025,180.0,top
C55,113.2125,-55.5,90.0,top
C56,106.11,-75.6125,270.0,top
C57,94.85,-78.8525,180.0,top
C58,87.54,-72.0675,90.0,top
C59,96.28,-82.2125,180.0,top
C6,167.02,-72.57,0.0,top
C60,152.755,-55.585,270.0,top
C61,126.235,-54.94,270.0,top
C62,92.36,-77.8525,270.0,top
C63,128.265,-54.96,270.0,top
C64,201.88,-50.91,225.0,top
C65,203.31,-52.34,225.0,top
C66,93.5975,-87.5975,180.0,top
C67,92.54,-83.1525,0.0,top
C68,179.99,-76.84,90.0,top
C69,183.1,-64.01,180.0,top
C7,171.045,-60.78,270.0,top
C70,170.06,-60.79,270.0,top
C71,166.44,-73.61,0.0,top
C72,119.975,-78.85,180.0,top
C73,131.9,-73.5,270.0,top
C74,120.54,-77.59,180.0,top
C75,114.23,-70.43,90.0,top
C76,122.642492,-81.044008,180.0,top
C77,116.89,-76.54,270.0,top
C78,120.09,-86.79,180.0,top
C79,118.947492,-82.364008,0.0,top
C8,183.105,-64.99,180.0,top
C9,179.015,-76.85,90.0,top
COM-TO-STM1,208.36,-70.62,0.0,top
D1,172.59,-82.84,90.0,top
D14,83.01,-76.54,90.0,top
D15,94.932,-63.0125,0.0,top
D16,141.77,-54.705,180.0,top
D17,110.94,-54.53,90.0,top
D18,109.69,-49.18,180.0,top
D2,216.81,-95.8375,0.0,top
D3,205.1825,-60.11,0.0,top
D4,206.19,-62.18,0.0,top
D5,207.6225,-64.25,0.0,top
D6,121.434,-62.2965,0.0,top
F1,80.59,-105.5,90.0,top
FB1,174.35,-80.23,90.0,top
FB2,180.03,-79.99,90.0,top
J1,186.794,-37.932,0.0,top
J10,205.41,-79.05,0.0,top
J11,224.08,-91.61,90.0,top
J12,169.12,-92.31,0.0,top
J14,156.8875,-111.95,180.0,top
J15,156.9025,-120.38,0.0,top
J16,199.4475,-112.02,180.0,top
J17,199.4625,-120.39,0.0,top
J18,223.18,-80.0,90.0,top
J19,83.455,-120.46,0.0,top
J2,163.934,-37.952,0.0,top
J20,101.144,-120.502,0.0,top
J21,124.034,-120.492,0.0,top
J22,75.86,-77.65,90.0,top
J23,121.62,-37.99,0.0,top
J3,209.67,-37.87,0.0,top
J4,141.134,-38.002,0.0,top
J5,95.25,-51.86,0.0,top
J6,78.44,-51.94,0.0,top
J7,107.315,-38.0,0.0,top
J8,189.41,-65.265,180.0,top
J9,211.21,-78.97,0.0,top
L1,200.505,-64.5,0.0,top
L2,209.345,-51.33,270.0,top
L3,211.445,-53.2,135.0,top
L4,222.935,-58.02,0.0,top
L5,100.09,-69.8725,0.0,top
L6,125.993492,-68.722008,0.0,top
Q1,156.7525,-73.205,0.0,top
Q2,99.5,-99.0625,90.0,top
Q3,89.660007,-99.103492,90.0,top
R1,160.325,-69.87,0.0,top
R10,186.85,-93.92,0.0,top
R11,218.8525,-66.52,180.0,top
R12,218.755,-72.53,180.0,top
R13,218.745,-74.06,0.0,top
R14,207.89,-60.09,180.0,top
R15,208.91,-62.11,180.0,top
R16,210.32,-64.22,180.0,top
R17,144.725,-51.955,90.0,top
R18,94.88,-80.9425,180.0,top
R19,150.665,-51.975,90.0,top
R2,169.8,-52.795,0.0,top
R20,105.24,-79.3925,180.0,top
R21,149.325,-60.165,180.0,top
R22,146.15,-60.155,180.0,top
R23,147.715,-52.545,180.0,top
R24,91.07,-78.2325,270.0,top
R25,141.985,-56.515,0.0,top
R26,105.25,-80.4625,0.0,top
R27,139.33,-55.305,90.0,top
R28,98.28,-82.7125,270.0,top
R29,99.31,-82.7125,90.0,top
R3,169.65,-45.57,180.0,top
R30,108.98,-55.47,90.0,top
R31,158.42,-45.575,0.0,top
R32,100.45,-95.56,90.0,top
R33,102.18,-98.67,270.0,top
R34,90.557507,-95.505992,90.0,top
R35,92.377507,-98.685992,270.0,top
